"gene","inheritance"
"PPOX","AD"
"NDUFS2","AR"
"APOA2","AD"
"MPZ","AD"
"SDHC","AD"
"FCGR2A","AD"
"FCGR3A","AR"
"FCGR2B","AD"
"ATF6","AR"
"NOS1AP","AR"
"DDR2","AD"
"PBX1","AD"
"LMX1A","AD"
"TMCO1","AR"
"CD247","AR"
"ADCY10","AD"
"TBX19","AR"
"SLC19A2","AR"
"F5","AD"
"GORAB","AR"
"PRRX1","AD"
"","AD"
"FMO3","AR"
"MYOC","AD"
"METTL13","AD"
"PIGC","AR"
"FASLG","AD"
"DARS2","AR"
"SERPINC1","AD"
"MRPS14","AR"
"PAPPA2","AR"
"NPHS2","AR"
"TOR1AIP1","AR"
"LHX4","AD"
"XPR1","AD"
"CACNA1E","AD"
"GLUL","AR"
"RNASEL","AD"
"LAMC2","AR"
"NCF2","AR"
"TSEN15","AR"
"EDEM3","AR"
"RNF2","AD"
"IVNS1ABP","AD"
"HMCN1","AD"
"","AD"
"PRG4","AR"
"PLA2G4A","AR"
"CDC73","AD"
"","AD"
"","AD"
"","AD"
"","AD"
"","AD"
"KCNT2","AD"
"CFH","AD"
"CFHR3","AD"
"CFHR1","AD"
"CFHR5","AD"
"F13B","AR"
"ASPM","AR"
"CRB1","AD"
"PTPRC","AR"
"KIF14","AR"
"DDX59","AR"
"INAVA","AD"
"CACNA1S","AD"
"PKP1","AR"
"TNNT2","AD"
"LMOD1","AR"
"UBE2T","AR"
"SYT2","AD"
"KDM5B","AR"
"CHI3L1","AD"
"CHIT1","AR"
"SNRPE","AD"
"REN","AD"
"KISS1","AR"
"PPP1R15B","AR"
"MDM4","AD"
"NFASC","AR"
"CNTN2","AR"
"DSTYK","AD"
"NUAK2","AR"
"SLC41A1","AR"
"CD55","AR"
"CR2","AR"
"CD46","AD"
"LAMB3","AD"
"HSD11B1","AD"
"IRF6","AD"
"SYT14","AR"
"HHAT","AR"
"KCNH1","AD"
"","AD"
"","AD"
"RD3","AR"
"NEK2","AR"
"FLVCR1","AR"
"PTPN14","AR"
"","AD"
"","AD"
"CENPF","AR"
"USH2A","AR"
"TGFB2","AD"
"SLC30A10","AR"
"EPRS1","AR"
"IARS2","AR"
"RAB3GAP2","AR"
"MIA3","AR"
"TLR5","AD"
"DEGS1","AR"
"WDR26","AD"
"LBR","AD"
"TMEM63A","AD"
"PYCR2","AR"
"PSEN2","AD"
"COQ8A","AR"
"ARF1","AD"
"GJC2","AD"
"IBA57","AR"
"ACTA1","AD"
"NUP133","AR"
"GALNT2","AR"
"","AD"
"COG2","AR"
"AGT","AR"
"ARV1","AR"
"GNPAT","AR"
"EXOC8","AR"
"SPRTN","AR"
"EGLN1","AD"
"DISC2","AD"
"COA6","AR"
"","AD"
"","AR"
"IRF2BP2","AD"
"GGPS1","AR"
"TBCE","AR"
"B3GALNT2","AR"
"LYST","AR"
"EDARADD","AD"
"","AR"
"ACTN2","AD"
"MTR","AR"
"RYR2","AD"
"CHRM3","AR"
"FMN2","AR"
"GREM2","AD"
"FH","AD"
"SDCCAG8","AR"
"AKT3","AD"
"ZBTB18","AD"
"COX20","AR"
"HNRNPU","AD"
"NLRP3","AD"
"","AD"
"","AD"
"TPO","AR"
"PXDN","AR"
"MYT1L","AD"
"TRAPPC12","AR"
"RNASEH1","AR"
"RPS7","AD"
"COLEC11","AR"
"SOX11","AD"
"","AR"
"","AD"
"","AD"
"KIDINS220","AD"
"ADAM17","AR"
"ODC1","AD"
"LPIN1","AR"
"NBAS","AR"
"MYCN","AD"
"","AD"
"WDR35","AR"
"MATN3","AD"
"APOB","AD"
"ADCY3","AR"
"POMC","AD"
"DNMT3A","AD"
"ASXL2","AD"
"HADHA","AR"
"HADHB","AR"
"SELENOI","AR"
