"gene","inheritance"
"SLC25A46","AR"
"APC","AD"
"TRIM36","AR"
"HSD17B4","AR"
"LOX","AD"
"PRDM6","AD"
"CEP120","AR"
"ALDH7A1","AR"
"LMNB1","AD"
"MEGF10","AR"
"","AD"
"SLC12A2","AD"
"FBN2","AD"
"HINT1","AR"
"LYRM7","AR"
"","AD"
"P4HA2","AD"
"PDLIM4","AD"
"SLC22A5","AR"
"RAD50","AR"
"IL13","AD"
"GDF9","AR"
"UQCRQ","AR"
"AFF4","AD"
"PPP2CA","AD"
"SAR1B","AR"
"PITX1","AD"
"TGFBI","AD"
"KLHL3","AD"
"MYOT","AD"
"KIF20A","AR"
"KDM3B","AD"
"REEP2","AD"
"HSPA9","AD"
"CTNNA1","AD"
"SIL1","AR"
"MATR3","AD"
"STING1","AD"
"","AD"
"","AD"
"","AD"
"","AR"
"","AD"
"PURA","AD"
"NDUFA2","AR"
"HARS1","AD"
"HARS2","AR"
"DIAPH1","AD"
"PCDH12","AR"
"SPRY4","AD"
"NR3C1","AD"
"YIPF5","AR"
"GRXCR2","AR"
"LARS1","AR"
"POU4F3","AD"
"PPP2R2B","AD"
"SPINK1","AD"
"SCGB3A2","AD"
"SPINK5","AR"
"FBXO38","AD"
"ADRB2","AD"
"SH3TC2","AD"
"SLC26A2","AR"
"CSF1R","AD"
"PDGFRB","AD"
"CAMK2A","AD"
"TCOF1","AD"
"NDST1","AR"
"GM2A","AR"
"SLC36A2","AD"
"FAT2","AD"
"SPARC","AR"
"GLRA1","AD"
"GEMIN5","AR"
"SGCD","AR"
"HAVCR2","AR"
"ITK","AR"
"CYFIP2","AD"
"NIPAL4","AR"
"THG1L","AR"
"11,00 LSM","AR"
"IL12B","AR"
"","AD"
"GABRB2","AD"
"GABRA1","AD"
"GABRG2","AD"
"HMMR","AD"
"RARS1","AR"
"DOCK2","AR"
"FOXI1","AR"
"LCP2","AR"
"KCNMB1","AD"
"FBXW11","AD"
"SH3PXD2B","AR"
"ERGIC1","AR"
"NKX2-5","AD"
"MSX2","AD"
"SNCB","AD"
"NSD1","AD"
"SLC34A1","AD"
"F12","AD"
"DDX41","AD"
"B4GALT7","AR"
"PROP1","AR"
"NHP2","AR"
"GRM6","AR"
"ADAMTS2","AR"
"LTC4S","AR"
"SQSTM1","AD"
"FLT4","AD"
"EXOC2","AR"
"FOXC1","AD"
"SERPINB6","AR"
"NQO2","AD"
"RIPK1","AD"
"TUBB2A","AD"
"TUBB2B","AD"
"LYRM4","AR"
"FARS2","AR"
"F13A1","AD"
"","AD"
"DSP","AD"
"BLOC1S5","AR"
"TFAP2A","AD"
"GCNT2","AD"
"MAK","AR"
"GCM2","AD"
"","AD"
"EDN1","AD"
"PHACTR1","AD"
"TBC1D7","AR"
"","AR"
"","AD"
"","AD"
"DTNBP1","AR"
"ATXN1","AD"
"NHLRC1","AR"
"TPMT","AR"
"SOX4","AD"
"DCDC2","AR"
"ALDH5A1","AR"
"TDP2","AR"
"GMNN","AD"
"RIPOR2","AR"
"SLC17A3","AD"
"HFE","AD"
"H1-4","AD"
"","AD"
"OR2J3","AD"
"MOG","AD"
"ZFP57","AD"
"HLA-G","AD"
"DHX16","AD"
"TUBB","AD"
"VARS2","AR"
"CDSN","AD"
"TNF","AD"
"CSNK2B","AD"
"MPIG6B","AR"
"MSH5","AR"
"VARS1","AR"
"NEU1","AR"
"SLC44A4","AD"
"C2","AR"
"CFB","AD"
"SKIV2L","AR"
"C4A","AR"
"CYP21A2","AR"
"TNXB","AD"
"BTNL2","AD"
"HLA-DRB1","AD"
"HLA-DQA1","AR"
"HLA-DQB1","AD"
"TAP2","AR"
"PSMB8","AR"
"TAP1","AR"
"PSMB9","AR"
"COL11A2","AD"
"TAPBP","AR"
"SYNGAP1","AD"
"","AD"
"","AD"
"","AD"
"","AR"
"","AD"
"","AD"
"","AR"
"","AR"
"","AD"
"","AR"
"ITPR3","AR"
"UQCC2","AR"
"LEMD2","AD"
"HMGA1","AD"
"RPS10","AD"
"SCUBE3","AR"
"FANCE","AR"
"TULP1","AR"
"LHFPL5","AR"
"SLC26A8","AD"
"PNPLA1","AR"
"PPIL1","AR"
"DNAH8","AR"
"DAAM2","AR"
"MOCS1","AR"
"","AD"
"","AD"
"TREM2","AR"
"GUCA1A","AD"
"PRPH2","AD"
"CNPY3","AR"
"GNMT","AR"
"PEX6","AD"
"PPP2R5D","AD"
"CUL7","AR"
"POLR1C","AR"
"POLH","AR"
"GTPBP2","AR"
"AARS2","AR"
"RUNX2","AD"
"CLIC5","AR"
"PLA2G7","AD"
"MMUT","AR"
"RHAG","AD"
"TFAP2B","AD"
"PKHD1","AR"
"","AR"
"EFHC1","AD"
"","AD"
"CILK1","AD"
"ELOVL5","AD"
"GCLC","AR"
"DST","AR"
"RAB23","AR"
"","AD"
"","AD"
"","AR"
"EYS","AR"
"","AD"
"","AD"
"LMBRD1","AR"
"COL9A1","AD"
"RIMS1","AD"
"KCNQ5","AD"
"KHDC3L","AR"
"MTO1","AR"
"SLC17A5","AR"
"COL12A1","AD"
"MYO6","AD"
"IMPG1","AD"
"PHIP","AD"
"LCA5","AR"
"ELOVL4","AD"
"BCKDHB","AR"
"TENT5A","AR"
"PGM3","AR"
"RIPPLY2","AR"
"MRAP2","AD"
"TBX18","AD"
"NT5E","AR"
"SNX14","AR"
"ZNF292","AD"
"SLC35A1","AR"
"RARS2","AR"
"BACH2","AD"
"MAP3K7","AD"
"NDUFAF4","AR"
"FBXL4","AR"
"","AD"
"USP45","AR"
"","AD"
"GRIK2","AR"
"HACE1","AR"
"","AD"
"BVES","AR"
"POPDC3","AR"
"ATG5","AR"
"RTN4IP1","AR"
"QRSL1","AR"
"PDSS2","AR"
"SOBP","AR"
"SEC63","AD"
"OSTM1","AR"
"ARMC2","AR"
"CD164","AD"
"ZBTB24","AR"
"FIG4","AD"
"WASF1","AD"
"CDC40","AR"
"CDK19","AD"
"TRAF3IP2","AR"
"CCN6","AR"
"LAMA4","AD"
"COL10A1","AD"
"DSE","AR"
"TSPYL1","AR"
"RFX6","AR"
"NUS1","AD"
"CEP85L","AD"
"PLN","AD"
"MCM9","AR"
"GJA1","AD"
"TRDN","AR"
"","AD"
"","AD"
"","AD"
"LAMA2","AR"
"ARG1","AR"
"MED23","AR"
"ENPP1","AD"
"EYA4","AD"
"","AD"
"","AR"
"AHI1","AR"
"PEX7","AR"
"IFNGR1","AD"
"TNFAIP3","AD"
"PERP","AD"
"REPS1","AR"
"CITED2","AD"
"","AD"
"ADGRG6","AR"
"HIVEP2","AD"
"PEX3","AR"
"STX11","AR"
"","AD"
"","AD"
"EPM2A","AR"
"GRM1","AD"
"SASH1","AD"
"TAB2","AD"
"IYD","AR"
"RMND1","AR"
"ESR1","AD"
"SYNE1","AD"
"","AR"
"","AD"
"ARID1B","AD"
"SERAC1","AR"
"RSPH3","AR"
"LPA","AD"
"","AR"
"","AR"
"PLG","AD"
"PRKN","AR"
"","AD"
"PDE10A","AD"
"TBXT","AD"
"MPC1","AR"
"RNASET2","AR"
"SMOC2","AR"
"ERMARD","AD"
"DLL1","AD"
"TBP","AD"
"","AR"
"FAM20C","AR"
"DNAAF5","AR"
"INTS1","AR"
"MRM2","AR"
"LFNG","AR"
"BRAT1","AR"
"IQCE","AR"
"CARD11","AD"
"AP5Z1","AR"
"WIPI2","AR"
"ACTB","AD"
"RNF216","AR"
"PMS2","AR"
"AIMP2","AR"
"RAC1","AD"
"KDELR2","AR"
"NDUFA4","AR"
"TMEM106B","AD"
"","AR"
"CRPPA","AR"
"","AD"
"AHR","AR"
"TWIST1","AD"
"DNAH11","AR"
"IL6","AD"
"FAM126A","AR"
"KLHL7","AD"
"GPNMB","AR"
"GSDME","AD"
"CYCS","AD"
"SNX10","AR"
"HOXA1","AR"
"HOXA2","AD"
"HOXA11","AD"
"HOXA13","AD"
"","AD"
"FKBP14","AR"
"GARS1","AD"
"GHRHR","AR"
"PDE1C","AD"
"PPP1R17","AD"
"NT5C3A","AR"
"RP9","AD"
"BBS9","AR"
"BMPER","AR"
"ANLN","AD"
"","AD"
"NME8","AR"
"SFRP4","AR"
"VPS41","AR"
"POU6F2","AD"
"RALA","AD"
"CDK13","AD"
"MPLKIP","AR"
"SUGCT","AR"
"GLI3","AD"
"","AD"
"BLVRA","AD"
"PGAM2","AR"
"AEBP1","AR"
"GCK","AD"
"CAMK2B","AD"
"OGDH","AR"
"CCM2","AD"
"ADCY1","AR"
"PKD1L1","AR"
"IKZF1","AD"
"DDC","AR"
"","AD"
"","AD"
"EGFR","AD"
"PSPH","AR"
"CHCHD2","AD"
"GUSB","AR"
"ASL","AR"
"KCTD7","AR"
"SBDS","AR"
"AUTS2","AD"
"","AD"
"","AD"
"","AD"
"","AD"
"DNAJC30","AR"
"ELN","AD"
"NCF1","AR"
"POR","AR"
"MDH2","AR"
"HSPB1","AD"
"YWHAG","AD"
"ZP3","AD"
"MAGI2","AR"
"CD36","AR"
"HGF","AR"
"PCLO","AR"
"SEMA3E","AD"
"SEMA3A","AD"
"ABCB4","AD"
"ADAM22","AR"
"CFAP69","AR"
"AKAP9","AD"
"KRIT1","AD"
"GATAD1","AR"
"PEX1","AR"
"CDK6","AR"
"SAMD9","AD"
"SAMD9L","AD"
"","AD"
"CALCR","AD"
"COL1A2","AD"
"SGCE","AD"
"SLC25A13","AR"
"DLX5","AD"
"ASNS","AR"
"TRRAP","AD"
"ARPC1B","AR"
"CYP3A4","AD"
"AP4M1","AR"
"TAF6","AR"
"TRAPPC14","AR"
"STAG3","AR"
"TFR2","AR"
"ACTL6B","AD"
"GNB2","AD"
"EPO","AD"
"EPHB4","AD"
"SERPINE1","AD"
"AP1S1","AR"
"PLOD3","AR"
"CUX1","AD"
"PMPCB","AR"
"SLC26A5","AR"
"RELN","AD"
"","AD"
"KMT2E","AD"
"PUS7","AR"
"RINT1","AR"
"COG5","AR"
"SLC26A4","AR"
"SLC26A3","AR"
"DLD","AR"
"LAMB1","AR"
"PNPLA8","AR"
"PPP1R3A","AD"
"FOXP2","AD"
"CAV1","AD"
"MET","AD"
"CFTR","AD"
"TSPAN12","AD"
"AASS","AR"
"FEZF1","AR"
"TAS2R16","AD"
"","AR"
"","AR"
"POT1","AD"
"PAX4","AD"
"LEP","AR"
"RBM28","AR"
"IMPDH1","AD"
"OPN1SW","AD"
"FLNC","AD"
"TNPO3","AD"
"SMO","AR"
"","AD"
"MIR96","AD"
"CEP41","AR"
"","AD"
"BPGM","AR"
"NUP205","AR"
"AKR1D1","AR"
"","AD"
"","AR"
"","AD"
"ATP6V0A4","AR"
"KIAA1549","AR"
"TBXAS1","AR"
"BRAF","AD"
"AGK","AR"
"WEE2","AR"
"SSBP1","AD"
"TAS2R38","AD"
"PRSS1","AD"
"PRSS2","AD"
"TRPV6","AR"
"CLCN1","AD"
"","AD"
"NOBOX","AD"
"TPK1","AR"
"CNTNAP2","AR"
"EZH2","AD"
"GIMAP5","AR"
"KCNH2","AD"
"NOS3","AD"
"CDK5","AR"
"ASB10","AD"
"PRKAG2","AD"
"KMT2C","AD"
"XRCC2","AR"
"DPP6","AD"
"","AD"
"","AD"
"SHH","AD"
"LMBR1","AD"
"MNX1","AD"
"DNAJB6","AD"
"NCAPG2","AR"
"DYNC2I1","AR"
"CLN8","AR"
"ARHGEF10","AD"
"","AR"
"MCPH1","AR"
"ANGPT2","AD"
"RP1L1","AD"
"BLK","AD"
"GATA4","AD"
"FDFT1","AR"
"CTSB","AD"
"","AR"
"","AD"
"TUSC3","AR"
"FGF20","AR"
"VPS37A","AR"
"ASAH1","AR"
"NAT2","AR"
"CSGALNACT1","AR"
"LPL","AD"
"ATP6V1B2","AD"
"FGF17","AD"
"HR","AR"
"HRURF","AD"
"SFTPC","AD"
"BMP1","AR"
"SLC39A14","AD"
"RHOBTB2","AD"
"TNFRSF10B","AR"
"NEFL","AD"
"GNRH1","AR"
"CHRNA2","AD"
"EPHX2","AD"
"","AD"
"","AD"
"ESCO2","AR"
"EXTL3","AR"
"GTF2E2","AR"
"GSR","AR"
"TEX15","AR"
"WRN","AR"
"TTI2","AR"
"ERLIN2","AR"
"PLPBP","AR"
"ADRB3","AD"
"STAR","AR"
"DDHD2","AR"
"FGFR1","AD"
"ADAM9","AR"
"ANK1","AD"
"KAT6A","AD"
"IKBKB","AD"
"SLC20A2","AD"
"THAP1","AD"
"RNF170","AD"
"POMK","AR"
"HGSNAT","AR"
"","AD"
"","AD"
"PRKDC","AR"
"MCM4","AR"
"SNAI2","AD"
"","AR"
"SOX17","AD"
"RP1","AD"
"PLAG1","AD"
"BPNT2","AR"
"CA8","AR"
"","AD"
"","AD"
"CHD7","AD"
"ASPH","AR"
"TTPA","AR"
"CYP7B1","AR"
"CSPP1","AR"
"CPA6","AD"
"","AR"
"","AD"
"","AD"
"","AD"
"EYA1","AD"
"","AD"
"TRPA1","AD"
"TMEM70","AR"
"JPH1","AD"
"GDAP1","AD"
"ZFHX4","AD"
"PEX2","AR"
"IL7","AR"
"MRPS28","AR"
"PMP2","AD"
"IMPA1","AR"
"CA2","AR"
"","AR"
"CNGB3","AR"
"NBN","AR"
"OTUD6B","AR"
"","AD"
"","AD"
"CIBAR1","AR"
"TMEM67","AR"
"PDP1","AR"
"ESRP1","AR"
"INTS8","AR"
"NDUFAF6","AR"
"CFAP418","AR"
"GDF6","AD"
"UQCRB","AR"
"PTDSS1","AD"
"POP1","AR"
"VPS13B","AR"
"SPAG1","AR"
"","AR"
"","AD"
"GRHL2","AD"
"RRM2B","AD"
"FZD6","AR"
"SLC25A32","AR"
"RIMS2","AR"
"DPYS","AR"
"LRP12","AD"
"ZFPM2","AD"
"OXR1","AR"
"ANGPT1","AD"
"RSPO2","AR"
"TRHR","AR"
"","AD"
"","AR"
"TRPS1","AD"
"","AD"
"RAD21","AD"
"SLC30A8","AD"
"EXT1","AD"
"SAMD12","AD"
"TNFRSF11B","AR"
"COLEC10","AR"
"TAF2","AR"
"","AD"
"","AR"
"NDUFB9","AR"
"WASHC5","AD"
"NSMCE2","AR"
"KCNQ3","AD"
"DNAAF11","AR"
"TG","AR"
"NDRG1","AR"
"","AD"
"","AD"
"TRAPPC9","AR"
"AGO2","AD"
"SLURP1","AR"
"CYP11B1","AD"
"CYP11B2","AR"
"GPIHBP1","AR"
"MAFA","AD"
"FAM83H","AD"
"PUF60","AD"
"PLEC","AD"
"OPLAH","AD"
"GPAA1","AR"
"CYC1","AR"
"DGAT1","AR"
"SLC52A2","AR"
"CPSF1","AD"
"SLC39A4","AR"
"TONSL","AR"
"RECQL4","AR"
"","AD"
"DOCK8","AR"
"SMARCA2","AD"
"VLDLR","AR"
"KCNV2","AR"
"GLIS3","AR"
"SLC1A1","AR"
"","AD"
"JAK2","AD"
"RIC1","AR"
"GLDC","AR"
"","AR"
"","AR"
"","AR"
"TYRP1","AR"
"MPDZ","AR"
"NFIB","AD"
"FREM1","AD"
"BNC2","AD"
"","AD"
"","AR"
"MTAP","AD"
"CDKN2A","AD"
"PLAA","AR"
"IFT74","AR"
"TEK","AD"
"C9orf72","AD"
"DDX58","AD"
"APTX","AR"
"B4GALT1","AR"
"AQP7","AR"
"UBAP1","AD"
"MYORG","AR"
"DNAI1","AR"
"SIGMAR1","AR"
"GALT","AR"
"IL11RA","AR"
"VCP","AD"
"FANCG","AR"
"PIGO","AR"
"RUSC2","AR"
"RMRP","AR"
"TPM2","AD"
"GBA2","AR"
"2,00 NPR","AD"
"GNE","AD"
"GRHPR","AR"
"EXOSC3","AR"
"","AD"
"","AR"
"","AD"
"","AD"
"","AD"
"","AD"
"","AD"
"PRKACG","AR"
"FXN","AR"
"TJP2","AR"
"MIR204","AD"
"TMC1","AD"
"RORB","AD"
"TRPM6","AR"
"VPS13A","AR"
"CEP78","AR"
"PSAT1","AR"
"HNRNPK","AD"
"","AD"
"","AR"
"NTRK2","AD"
"AGTPBP1","AR"
"ISCA1","AR"
"SECISBP2","AR"
"SYK","AD"
"AUH","AR"
"ROR2","AD"
"SPTLC1","AD"
"IARS1","AR"
"ASPN","AD"
"BICD2","AD"
"FBP1","AR"
"FANCC","AR"
"PTCH1","AD"
"ERCC6L2","AR"
"HSD17B3","AR"
"TDRD7","AR"
"XPA","AR"
"FOXE1","AD"
"NANS","AR"
"GABBR2","AD"
"ANKS6","AR"
"TGFBR1","AD"
"ALG2","AR"
"","AD"
"INVS","AR"
"BAAT","AR"
"ALDOB","AR"
"ABCA1","AR"
"SLC44A1","AR"
"FKTN","AR"
"ZNF462","AD"
"","AD"
"","AD"
"ELP1","AR"
"FRRS1L","AR"
"MUSK","AR"
"","AR"
"PRPF4","AD"
"ALAD","AR"
"COL27A1","AR"
"WHRN","AR"
"TNC","AD"
"TRIM32","AR"
"CDK5RAP2","AR"
"C5","AD"
"GSN","AD"
"NDUFA8","AR"
"CRB2","AR"
"NR5A1","AD"
"RPL35","AD"
"LMX1B","AD"
"LRSAM1","AD"
"STXBP1","AD"
"MIR2861","AD"
"ENG","AD"
"AK1","AR"
"DPM2","AR"
"DNM1","AD"
"COQ4","AR"
"SLC27A4","AR"
"GLE1","AR"
"SPTAN1","AD"
"DYNC2I2","AR"
"SET","AD"
"LRRC8A","AD"
"DOLK","AR"
"NUP188","AR"
"CRAT","AR"
"TOR1A","AD"
"ASS1","AR"
"PRDM12","AR"
"EXOSC2","AR"
"ABL1","AD"
"LAMC3","AR"
"","AD"
"NUP214","AR"
"POMT1","AR"
"MED27","AR"
"NTNG2","AR"
"SETX","AD"
"TSC1","AD"
"GFI1B","AD"
"CEL","AD"
"SURF1","AR"
"ADAMTS13","AR"
"MYMK","AR"
"ADAMTSL2","AR"
"DBH","AR"
"SARDH","AR"
"","AD"
"","AD"
"COL5A1","AD"
"MRPS2","AR"
"SOHLH1","AD"
"KCNT1","AD"
"LHX3","AR"
"CARD9","AR"
"PMPCA","AR"
"INPP5E","AR"
"NOTCH1","AD"
"AGPAT2","AR"
"ABCA2","AR"
"MAN1B1","AR"
"GRIN1","AD"
"TPRN","AR"
"SLC34A3","AR"
"TUBB4B","AD"
"NSMF","AD"
"EHMT1","AD"
"CACNA1B","AR"
"TUBB8","AD"
"ZMYND11","AD"
"WDR37","AD"
"PITRM1","AR"
"AKR1C2","AR"
"AKR1C4","AR"
"IL2RA","AR"
"GATA3","AD"
"DHTKD1","AD"
"OPTN","AD"
"MCM10","AR"
"PHYH","AR"
"FRMD4A","AR"
"DCLRE1C","AR"
"ITGA8","AR"
"CUBN","AR"
"VIM","AD"
"MLLT10","AD"
"PTF1A","AR"
"MYO3A","AR"
"PDSS1","AR"
"ANKRD26","AD"
"YME1L1","AR"
"ACBD5","AR"
"RAB18","AR"
"ODAD2","AR"
"WAC","AD"
"","AR"
"SVIL","AR"
"MTPAP","AR"
"","AR"
"BMS1","AD"
"RET","AD"
"ALOX5","AD"
"GDF2","AD"
"RBP3","AR"
"","AR"
"ERCC6","AD"
"CHAT","AR"
"SLC18A3","AR"
"PRKG1","AD"
"","AD"
"MBL2","AD"
"PCDH15","AR"
"TFAM","AR"
"BICC1","AD"
"ANK3","AR"
"","AD"
"","AD"
"EGR2","AD"
"CTNNA3","AD"
"DNAJC12","AR"
"MYPN","AD"
"ATOH7","AR"
"DNA2","AD"
"","AR"
"KIFBP","AR"
"HK1","AD"
"NEUROG3","AR"
"COL13A1","AR"
"NODAL","AD"
"PRF1","AR"
"SGPL1","AR"
"PCBD1","AR"
"SLC29A3","AR"
"CDH23","AD"
"PSAP","AD"
"CHST3","AR"
"ASCC1","AR"
"MICU1","AR"
"FAM149B1","AR"
"MRPS16","AR"
"CFAP70","AR"
"CAMK2G","AD"
"PLAU","AD"
"VCL","AD"
"ADK","AR"
"KAT6B","AD"
"LRMDA","AR"
"","AD"
"","AD"
"","AD"
"KCNMA1","AD"
"POLR3A","AR"
"RPS24","AD"
"ZMIZ1","AD"
"SFTPA2","AD"
"NUTM2B-AS1","AD"
"ANXA11","AD"
"MAT1A","AD"
"CDHR1","AR"
"LDB3","AD"
"BMPR1A","AD"
"GLUD1","AD"
"MINPP1","AD"
"PAPSS2","AR"
"ATAD1","AR"
"PTEN","AD"
"LIPN","AR"
"ACTA2","AD"
"FAS","AD"
"LIPA","AR"
"SLC16A12","AD"
"KIF11","AD"
"CYP26C1","AR"
"MYOF","AD"
"CEP55","AR"
"RBP4","AD"
"PDE6C","AR"
"LGI1","AD"
"PLCE1","AR"
"HELLS","AR"
"CYP2C19","AR"
"CYP2C9","AD"
"","AD"
"ALDH18A1","AD"
"TCTN3","AR"
"ENTPD1","AR"
"BLNK","AR"
"EXOSC1","AR"
"HOGA1","AR"
"ZFYVE27","AD"
"HPS1","AR"
"HPSE2","AR"
"COX15","AR"
"ABCC2","AR"
"DNMBP","AR"
"CPN1","AR"
"ERLIN1","AR"
"CWF19L1","AR"
"NDUFB8","AR"
"PAX2","AD"
"TWNK","AD"
"PDZD7","AR"
"","AR"
"LBX1","AR"
"FGF8","AD"
"HPS6","AR"
"PITX3","AD"
"NFKB2","AD"
"SUFU","AD"
"TRIM8","AD"
"3,00 ARL","AD"
"CYP17A1","AR"
"CNNM2","AD"
"NT5C2","AR"
"","AD"
"","AD"
"ATP5MK","AR"
"1,00 STN","AR"
"COL17A1","AD"
"CFAP43","AD"
"CFAP58","AR"
"ADD3","AR"
"SMC3","AD"
"RBM20","AD"
"BBIP1","AR"
"SHOC2","AD"
"TCF7L2","AD"
"HABP2","AD"
"NHLRC2","AR"
"ADRB1","AD"
"PNLIP","AR"
"VAX1","AR"
"KCNK18","AD"
"SLC18A2","AR"
"NANOS1","AD"
"SFXN4","AR"
"BAG3","AD"
"WDR11","AD"
"FGFR2","AD"
"HTRA1","AD"
"ACADSB","AR"
"OAT","AR"
"MMP21","AR"
"UROS","AR"
"","AD"
"","AD"
"","AR"
"EBF3","AD"
"NKX6-2","AR"
"TUBGCP2","AR"
"ECHS1","AR"
"SYCE1","AR"
"","AD"
"IFITM5","AD"
"LRRC56","AR"
"HRAS","AD"
"IRF7","AR"
"DRD4","AD"
"DEAF1","AD"
"EPS8L2","AR"
"TALDO1","AR"
"SLC25A22","AR"
"PNPLA2","AR"
"MUC5B","AD"
"CTSD","AR"
"TNNI2","AD"
"TNNT3","AD"
"","AD"
"IGF2","AD"
"INS","AD"
"TH","AR"
"CD81","AR"
"KCNQ1","AD"
"KCNQ1OT1","AD"
"CDKN1C","AD"
"CARS1","AR"
"PGAP2","AR"
"STIM1","AD"
"HBB","AD"
"HBG1","AD"
"HBG2","AD"
"SMPD1","AR"
"TPP1","AR"
"DCHS1","AD"
"EIF3F","AR"
"TUB","AR"
"DENND5A","AR"
"SBF2","AR"
"AMPD3","AR"
"TEAD1","AD"
"PTH","AD"
"FAR1","AD"
"RRAS2","AD"
"COPB1","AR"
"CYP2R1","AR"
"SOX6","AD"
"","AR"
"","AD"
"PIK3C2A","AR"
"KCNJ11","AD"
"ABCC8","AD"
"USH1C","AR"
"OTOG","AR"
"MYOD1","AR"
"KCNC1","AD"
"HPS5","AR"
"LDHA","AR"
"CSRP3","AD"
"SLC6A5","AD"
"ANO5","AD"
"FANCF","AR"
"ANO3","AD"
"","AD"
"","AD"
"KCNA4","AR"
"FSHB","AR"
"","AD"
"","AD"
"","AD"
"","AR"
"","AD"
"","AR"
"ELP4","AD"
"PAX6","AD"
"WT1","AD"
"CD59","AR"
"PDHX","AR"
"SLC1A2","AD"
"TRIM44","AD"
"","AD"
"RAG1","AR"
"RAG2","AR"
"","AD"
"EXT2","AD"
"ALX4","AD"
"SLC35C1","AR"
"MAPK8IP1","AD"
"PEX16","AR"
"PHF21A","AD"
"CREB3L1","AR"
"ZNF408","AD"
"F2","AD"
"LRP4","AD"
"DDB2","AR"
"ACP2","AR"
"MADD","AR"
"MYBPC3","AD"
"SLC39A13","AR"
"PSMC3","AR"
"RAPSN","AR"
"NDUFS3","AR"
"NUP160","AR"
"SERPING1","AD"
"1 CLP","AR"
"TMX2","AR"
"CTNND1","AD"
"FAM111B","AD"
"FAM111A","AD"
"MPEG1","AD"
"STX3","AR"
"CBLIF","AR"
"MS4A2","AD"
"MS4A1","AR"
"ZP1","AR"
"DDB1","AD"
"TKFC","AR"
"TMEM138","AR"
"TMEM216","AR"
"SDHAF2","AD"
"MYRF","AD"
"","AD"
"BEST1","AD"
"FTH1","AD"
"ROM1","AD"
"B3GAT3","AR"
"GANAB","AD"
"UQCC3","AR"
"BSCL2","AD"
"ATL3","AD"
"COX8A","AR"
"FERMT3","AR"
"PLCB3","AR"
"KCNK4","AD"
"SLC22A12","AR"
"RASGRP2","AR"
"PYGM","AR"
"MEN1","AD"
"2,00 ARL","AD"
"VPS51","AR"
"CAPN1","AR"
"DPF2","AD"
"SCYL1","AR"
"LTBP3","AD"
"RELA","AD"
"RNASEH2C","AR"
"EFEMP2","AR"
"FIBP","AR"
"BANF1","AR"
"CST6","AR"
"CATSPER1","AR"
"PACS1","AD"
"KLC2","AR"
"B4GAT1","AR"
"BBS1","AR"
"ACTN3","AR"
"CTSF","AR"
"SPTBN2","AD"
"C11orf80","AR"
"PC","AR"
"CLCF1","AR"
"CABP4","AR"
"AIP","AD"
"CABP2","AR"
"NDUFV1","AR"
"NDUFS8","AR"
"TCIRG1","AR"
"KMT5B","AD"
"LRP5","AD"
"GAL","AD"
"CPT1A","AR"
"IGHMBP2","AR"
"CCND1","AD"
"FGF3","AR"
"FADD","AR"
"DHCR7","AR"
"NADSYN1","AR"
"IL18BP","AR"
"LRTOMT","AR"
"FOLR1","AR"
"INPPL1","AR"
"PHOX2A","AR"
"CLPB","AR"
"PDE2A","AR"
"RELT","AR"
"DNAJB13","AR"
"UCP3","AD"
"C2CD3","AR"
"LIPT2","AR"
"","AD"
"","AR"
"SERPINH1","AR"
"LRRC32","AR"
"ACER3","AR"
"CAPN5","AD"
"MYO7A","AD"
"PAK1","AD"
"NDUFC2","AR"
"ALG8","AD"
"NARS2","AR"
"TENM4","AD"
"TMEM126B","AR"
"TMEM126A","AR"
"EED","AD"
"HIKESHI","AR"
"FZD4","AD"
"CTSC","AR"
"","AD"
"TYR","AD"
"MTNR1B","AD"
"MED17","AR"
"HEPHL1","AR"
"PANX1","AD"
"MRE11","AR"
"CEP57","AR"
"MTMR2","AR"
"PGR","AR"
"TRPC6","AD"
"CFAP300","AR"
"YAP1","AD"
"MMP20","AR"
"MMP1","AR"
"MMP13","AD"
"","AD"
"DYNC2H1","AR"
"GRIA4","AD"
"ALKBH8","AR"
"ACAT1","AR"
"ATM","AD"
"EXPH5","AR"
"RDX","AR"
"BTG4","AR"
"ALG9","AR"
"CRYAB","AD"
"DLAT","AR"
"SDHD","AD"
"PTS","AR"
"TTC12","AR"
"ZBTB16","AR"
"","AD"
"ZPR1","AR"
"APOA5","AD"
"APOA1","AD"
"SIK3","AR"
"CEP164","AR"
"FXYD2","AD"
"IL10RA","AR"
"SCN4B","AD"
"SCN2B","AD"
"MPZL2","AR"
"CD3E","AR"
"CD3D","AR"
"CD3G","AR"
"KMT2A","AD"
"ARCN1","AD"
"TREH","AR"
"DDX6","AD"
"TRAPPC4","AR"
"SLC37A4","AD"
"HYOU1","AR"
"VPS11","AR"
"HMBS","AD"
"DPAGT1","AR"
"CBL","AD"
"C1QTNF5","AD"
"MFRP","AR"
"NECTIN1","AR"
"TECTA","AD"
"SC5D","AR"
"CLMP","AR"
"SCN3B","AD"
"","AD"
"ROBO3","AR"
"ROBO4","AD"
"HEPACAM","AD"
"STT3A","AR"
"HYLS1","AR"
"PUS3","AR"
"CDON","AD"
"FOXRED1","AR"
"DCPS","AR"
"FLI1","AD"
"KCNJ1","AR"
"KCNJ5","AD"
"ST14","AR"
"","AR"
"JAM3","AR"
"NCAPD3","AR"
